# Canadian Moho depth compilation by Schetsellar, E. M. and Snyder, D. B.
# ===
# This is a reproduction of data downloaded from geoscan.nrcan.gc.ca
# ===
# Title: National database of Moho depth estimates estimates from seismic refraction and teleseismic surveys
# Author: Schetselaar, E M; Snyder, D B
# Source: Geological Survey of Canada, Open File 8243, 2017, 14 pages, https://doi.org/10.4095/305396 (Open Access)
# Year: 2017
# Publisher: Natural Resources Canada
# GEOSCAN ID: 305396
STATION,LON,LAT,Z,MOHODEPTH,STDDEV,DUPLICATE,METHOD,DATA_SOURCE,LOCATION,AUTHORS_1st,YEAR,TITLE,JOURNAL
R0121,-135,66,320.09,36,,FALSE,EARTH QUAKE MODEL,USGSDatabase,,Leblanc & Wetmiller,1974,An Evaluation of Seismological data available for the Yukon Territory and the Mackenzie Valley.,"Canadian Journal of Earth Sciences, 11(10):1435-1454."
R0311,-122.79,47.55,345.64,41,,FALSE,EARTH QUAKE MODEL,USGSDatabase,,Crosson,1976,"Crustal structure modelling of earthquake data 2. Velocity structure of the Puget Sound Region, Washington.","Journal of Geophysical Research, 81:3047."
R1443,-125.5,49.7,1029.83,50,,FALSE,EARTH QUAKE MODEL,USGSDatabase,,Wickens,1977,The upper mantle of southern British Columbia.,"Canadian Journal of Earth Sciences, 14(5):1100-1115."
R1446,-118.6,50.3,891.72,36,,FALSE,EARTH QUAKE MODEL,USGSDatabase,,Wickens,1977,The upper mantle of southern British Columbia.,"Canadian Journal of Earth Sciences, 14(5):1100-1115."
R1449,-122,52.6,816.38,33,,FALSE,EARTH QUAKE MODEL,USGSDatabase,,Wickens,1977,The upper mantle of southern British Columbia.,"Canadian Journal of Earth Sciences, 14(5):1100-1115."
R3448,-139.39,64.06,537.92,34.6,,FALSE,EARTH QUAKE MODEL,USGSDatabase,,Lowe & Cassidy,1995,Geophysical evidence for crustal thickness variations between the Denali and Tintina fault systems in west central Yukon.,"Tectonics, 14(4):909-917."
R3449,-134.88,60.66,1164.01,38.5,,FALSE,EARTH QUAKE MODEL,USGSDatabase,,Lowe & Cassidy,1995,Geophysical evidence for crustal thickness variations between the Denali and Tintina fault systems in west central Yukon.,"Tectonics, 14(4):909-917."
R3455,-147.81,64.91,210.31,32,,FALSE,EARTH QUAKE MODEL,USGSDatabase,,Searcy et al.,1996,"Velocity structure 	 beneath College Station Alaska from receiver functions. 

	 Beneath College Station Alaska from receiver functions.","Bulletin of the Seismological Society of America, 86(1; Part A):232-241."
R3159,-94.45,49.51,327.71,38,,FALSE,REFLECTION,USGSDatabase,,Green et al.,1978,"A sub-critical seismic crustal reflection survey over the Aulneau Batholith, Kenora
 Region, Ontario.","Canadian Journal of Earth Sciences, 15:301-315."
R3160,-94.03,49.24,363.35,38,,FALSE,REFLECTION,USGSDatabase,,Green et al.,1978,"A sub-critical seismic crustal reflection survey over the Aulneau Batholith, Kenora
 Region, Ontario.","Canadian Journal of Earth Sciences, 15:301-315."
aav24,-150.62,73.51,-3827.92,13.6,,FALSE,REFRACTION,ArcticRefraction,Amerasian basin,Baggeroer & Falconer,1982,Array Refraction Profiles and Crustal Models of the Canada Basin.,"Journal of Geophysical Research, 87(B7):5461-5476."
aav25,-150.6,72.89,-3767.42,14.4,,FALSE,REFRACTION,ArcticRefraction,Amerasian basin,Baggeroer & Falconer,1982,Array Refraction Profiles and Crustal Models of the Canada Basin.,"Journal of Geophysical Research, 87(B7):5461-5476."
ALV112,-147.8,65.07,168.63,32.51,,FALSE,REFRACTION,ArcticRefraction,Alaska,Beaudoin et al.,1994,"Crustal structure beneath the Yukon- Tanana Terrane, East-Central Alaska: Results from TACT refraction/wide-angle reflection 
	 data.","Geological Society of America Bulletin, 106:981-1001."
ALV113,-148.39,65.34,240.05,32.51,,FALSE,REFRACTION,ArcticRefraction,Alaska,Beaudoin et al.,1994,"Crustal structure beneath the Yukon- Tanana Terrane, East-Central Alaska: Results from TACT refraction/wide-angle reflection 
	 data.","Geological Society of America Bulletin, 106:981-1001."
ALV114,-148.97,65.59,308.56,30.51,,FALSE,REFRACTION,ArcticRefraction,Alaska,Beaudoin et al.,1994,"Crustal structure beneath the Yukon- Tanana Terrane, East-Central Alaska: Results from TACT refraction/wide-angle reflection 
	 data.","Geological Society of America Bulletin, 106:981-1001."
